ticker,company,sector,industry,market_cap,buffett_quality_total_score,quality_score,growth_score,balance_sheet_score,valuation_score,capital_allocation_score,roic_5y_avg,roe_5y_avg,gross_margin_5y_avg,operating_margin_5y_avg,fcf_margin_5y_avg,revenue_cagr_5y,eps_cagr_5y,debt_to_equity,interest_coverage,current_ratio,fcf_yield,pe,ev_ebit,shares_change_5y_pct
KLAC,KLA Corporation,Technology,Semiconductors,11915497100.0,90.91422044453076,98.24225270869997,100.0,62.045911733281095,100.0,84.16274028789117,0.3241850006132948,1.1662821350113677,0.6060563177174991,0.3877224688419409,0.3084796856037626,0.1513104889699883,0.2276606795855797,1.297462542512413,17.344919679911044,2.618532990519593,0.3140191272422868,2.9338355715689484,3.038491579446465,-0.1366509611515647
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Apparel - Footwear & Accessories,14562894820.0,87.69388778205139,77.52992517829288,100.0,96.62276497636859,89.17823225394335,79.61259754738015,0.2830094948506759,0.3481861855691386,0.5420020786452239,0.2080576052800062,0.1555724820342411,0.1470922857629077,0.2686503841711771,0.1500993343836187,492.1162055335968,3.544972228924204,0.0753512274560258,14.217329545454549,10.466084057398314,-0.1184503901895206
ADBE,Adobe Inc.,Technology,Software - Application,136375380000.0,87.54514711727904,99.81713707783933,90.30210007248644,72.13068915082164,75.30170969373526,76.72955974842765,0.2706046871919192,0.4001189311472408,0.882803529444663,0.3472570561675899,0.3985490811111222,0.107749546999968,0.1362193664674993,0.5719693710745934,33.10266159695818,0.9963725490196078,0.0722417785380323,19.135086670651525,15.804316563289683,-0.1069182389937106
PRI,"Primerica, Inc.",Financial Services,Insurance - Life,8430803520.0,83.52381941987153,84.98457916218979,68.57125772734963,83.25771944256148,96.55291718520274,93.62509486465974,6.37651555593221,0.2512286796517927,0.4816769728584503,0.2789675804612755,0.257846540366686,0.0445710185456391,0.2488018878750741,0.7441013581083789,40.67801986810251,6.586263787240508,0.1038010194311822,11.257516339869282,9.742382768089117,-0.174500379458639
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,19803600712.800003,83.00296623831937,100.0,100.0,99.5010819743822,3.0400863982150677,52.93473767421356,0.3860554851033934,0.4222907848842462,0.912481806002976,0.7842800196420897,0.6191272176939773,0.1534334625717297,0.1584613236074599,0.0221741344719025,50.0,4.398104787615007,0.0245601295973226,41.14899713467049,33.25302023064674,-0.0117389506968542
NVDA,NVIDIA Corporation,Technology,Semiconductors,4542222730000.0,82.98376296505445,100.0,100.0,98.36756880471478,3.39511755732457,56.0196314102564,0.4515958204924558,0.5877197685083277,0.6812645648281168,0.4597762382254228,0.3601749465244231,0.6830139148028267,0.8949734120293191,0.0725524975682325,503.4247104247104,3.905263812455306,0.0212838528065751,37.82352941176471,34.84265862394257,-0.0240785256410256
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1664086890000.0,82.28537107767168,91.83435231872849,97.61494434897156,88.30148227548696,30.418924057282,76.1101243339254,0.2071300284017063,0.2749627365850444,0.8071268312398931,0.3654717413329229,0.2756349281272549,0.1425507326728678,0.1428448330469147,0.3861896585850867,71.48154506437768,2.5987666124868536,0.0277082887180248,27.52668890742285,20.55947559921226,-0.1044404973357016
UTHR,United Therapeutics Corporation,Healthcare,Biotechnology,21585175000.0,81.69007044663348,72.92044012244395,100.0,100.0,65.69904357160358,53.340757238307326,0.134852497847733,0.1619812185634677,0.9025029287015368,0.4600248603177199,0.3299486851161002,0.1722405404228948,0.2900180376110077,0.0,77.8051282051282,6.604530859793079,0.0482136466347852,16.17158977763027,13.200682177695755,-0.0133630289532293
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,11834889860.0,81.31823744601903,62.77882803626527,100.0,98.19862084218016,82.31613504126184,84.3912361377523,0.1378172172903882,0.1727802493424662,0.9632705408908568,0.2145839310064126,0.2245865577452145,0.127631469062206,0.4017742401775208,0.0800612959031036,50.0,3.5580188539704767,0.0713432072446849,15.131944444444445,13.214353117608416,-0.1375649445510092
V,Visa Inc.,Financial Services,Financial - Credit Services,662959960000.0,80.33906466247424,99.57094965776565,100.0,70.64197277750924,18.515957099640673,72.09793357840043,0.2471010112011193,0.4454798380912456,0.8009432314267546,0.6394474700169379,0.5750759779770986,0.1349800135418439,0.16017350769797,0.6639848057189586,40.73684210526316,1.0775507874914405,0.0325464602718993,33.40313111545988,27.83933316662499,-0.0883917343136017
