ticker,company,sector,industry,market_cap,pe,ev_ebit,price_to_book,fcf_yield,value_score
CMCSA,Comcast Corporation,Communication Services,Telecommunications Services,84983315777.0,4.249590747924793,8.995903037106919,0.8769846010175019,0.2576152718899343,97.73860398860398
MTG,MGIC Investment Corporation,Financial Services,Insurance - Specialty,6232618198.0,8.44131309262447,0.7738369047221597,1.2107928989921617,0.1366637539699331,97.09757834757835
CHTR,"Charter Communications, Inc.",Communication Services,Telecommunications Services,18546602336.0,3.718989840786044,8.64534691804263,1.1552636312445497,0.2382107471741286,96.83048433048432
SYF,Synchrony Financial,Financial Services,Financial - Credit Services,24770304621.0,6.973621796452703,4.897490720839645,1.477412896397471,0.397693938396237,96.45655270655271
TMHC,Taylor Morrison Home Corporation,Consumer Cyclical,Residential Construction,6635040000.0,8.479284345047922,7.176109061086999,1.0542985088002808,0.1216833658877716,96.43874643874643
FISV,"Fiserv, Inc.",Technology,Information Technology Services,26998650020.0,7.758232764367816,9.709310287820289,1.0467838872518611,0.1607858169495246,96.18945868945869
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty,14154204073.0,11.075277052425664,8.01926177345679,1.2179850333878324,0.1698435311234331,95.2991452991453
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,21215115130.0,9.513504542600897,5.915589438934543,1.4129280805860809,0.122318450034261,94.9074074074074
LKQ,LKQ Corporation,Consumer Cyclical,Auto - Parts,6466591392.0,10.65336308401977,10.31149162097516,0.9892292170720514,0.1309809061150589,94.76495726495726
ACT,Enact Holdings Inc.,Financial Services,Insurance - Property & Casualty,6494238520.0,9.631881811332397,7.750279179867658,1.2127019646954975,0.1115633492315893,94.6937321937322
