ticker,company,sector,industry,market_cap,pe,eps_cagr_5y,roe_5y_avg,peg
PPC,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,6925907703.0,6.398900644795304,1.430961748056411,0.1843041683397148,0.04471748216530976
BYD,Boyd Gaming Corporation,Consumer Cyclical,"Gambling, Resorts & Casinos",6520245144.0,3.537319292367436,0.534391455942641,0.426198150390593,0.06619341033676845
DAL,,,,44971200000.0,8.985254745254744,1.0426503053509069,0.2309074865035763,0.08617706913950149
SM,SM Energy Company,Energy,Oil & Gas Exploration & Production,7508938680.0,11.587868333333333,1.1000047473672558,0.1841295560021419,0.10534380293419335
INGR,Ingredion Incorporated,Consumer Defensive,Packaged Foods,6467337296.0,8.871518924554184,0.5944060186925775,0.1411502455250347,0.14925015301943756
POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,8480912164.0,46.92145465208274,3.082406594407382,0.1597244130031063,0.1522234436469721
APP,AppLovin Corporation,Technology,Software - Application,142619759151.0,42.78040051755313,2.1998558685387466,0.642183658184924,0.19446910649637242
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,6509215675.0,20.19676587855658,0.7880774635182373,0.1099764396474916,0.256278942280516
MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,6602459223.0,23.671176460254408,0.9035448720228576,0.1467828188608532,0.2619811942184935
IDCC,"InterDigital, Inc.",Technology,Software - Application,6731330250.0,16.55337408150618,0.6068568378893036,0.2718395305250153,0.27277230885426185
