ticker,company,sector,industry,market_cap,roic_5y_avg,roic_spread,ev_ebit,ri_score
KKRS,KKR Group Finance Co. IX LLC 4.,Financial Services,Financial - Credit Services,14420160836.0,2.7261955066293777,2.6461955066293776,1.085873044210775,99.49238578680203
BIPI,BIP Bermuda Holdings I Limited,Industrials,Specialty Business Services,13188409526.0,0.8762199797409538,0.7962199797409538,3.3060355771744594,98.98477157360406
PRI,"Primerica, Inc.",Financial Services,Insurance - Life,9681698964.0,6.37651555593221,6.29651555593221,9.76736054687019,95.43147208121827
HPQ,HP Inc.,Technology,Computer Hardware,22716751460.0,0.2874091191181937,0.2074091191181937,8.252966738410596,92.89340101522842
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,123922627021.0,0.3217545152093854,0.2417545152093854,9.63623627570869,92.51269035532994
CACC,Credit Acceptance Corporation,Financial Services,Financial - Credit Services,6694445440.0,1.4050200777756408,1.3250200777756407,11.360012177222073,92.38578680203045
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,17500859682.0,0.2914197290173752,0.21141972901737516,10.015725845861512,91.37055837563452
SM,SM Energy Company,Energy,Oil & Gas Exploration & Production,7508938680.0,0.4667582019128062,0.3867582019128062,12.158076253041363,90.48223350253807
EOG,"EOG Resources, Inc.",Energy,Oil & Gas Exploration & Production,74509470810.0,0.2527710929239853,0.1727710929239853,10.026532347829509,89.21319796954315
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,12449213400.0,0.2018934700497486,0.12189347004974861,6.088441236363637,88.83248730964468
